0;trenger hjelp med å finne bestillingen min
0;jeg har bestilt ting og det har ikke blitt oppnådd
0;jeg vet ikke når jeg vil motta bestillingen min
0;Begynn å bli litt irritert, bestillingen min ville være her, men ikke kommet
0;Det har vært 10 dager og jeg har ikke mottatt varene ennå?
0;Det står at jeg vil ha en sporingskobling, men det er kommet, når vil det?
0;Et lite problem. Jeg trenger en sporingskobling?
0;Er det mulig å få levering før 22/12
0;har ikke mottatt noen melding via sms!
0;Har du informasjon om bestillingen min?
0;Har du noen sporingsnummer for bestillingen min?
0;Har du sendt min bestilling
0;hei jeg trenger å vite hvor bestillingen min er
0;Hei jeg har et spørsmål til deg. Hvor er bestillingen min?
0;Hei, jeg har ikke mottatt beskjed om at bestillingen min er kommet
0;Hei, jeg sitter her og tenker på når bestillingen min kommer
0;hei Jeg vil gjerne se hvor langt bestillingen min har kommet
0;Hei kan du hjelpe meg med mitt spørsmål. Jeg trenger en sporingskobling?
0;Hei, du kan vise hvor bestillingen min er
0;Hei når kommer bestillingen min?
0;Kan ikke finne bestillingen min
0;Hvordan er bestillingen min?
0;Hvordan å gjøre med sporingskobling
0;hvordan finner jeg bestillingen min
0;hvordan finner jeg bestillingen min
0;Hvordan kan jeg få en sporingskobling til bestillingen min
0;Hvordan er leveringstiden?
0;Hvordan er leveringstiden?
0;hvordan ser pakken ut?
0;hvordan vet jeg når varen kommer
0;jeg mottok ikke pakken min?
0;jeg har bestilt 3 plakater og lurer på hvor de er?
0;jeg har bestilt plakater, hvor er de?
0;jeg har lagt ut 3 plakater og lurer på hvor de er
0;jeg har ikke mottatt det jeg bestilte
0;jeg har ikke mottatt mine ting
0;Jeg har ikke mottatt noen leveringsbekreftelse, hvor er pakken min?
0;jeg har ikke mottatt bestillingen
0;Jeg finner ikke leveringsdetaljer på denne bestillingen. Kan du se om det ble sendt?
0;jeg lagde en bestilling og lurte på hvor det er
0;jeg savner min levering, hvor er det?
0;Jeg trenger å vite hvor bestillingen min er
0;jeg lurer på når bestillingen min forventes å bli levert til meg?
0;jeg lurer på om du kan se hvor deres ordre er?
0;jeg lurer på om bestillingen min er på?
0;jeg lurer på om bestillingen min kan komme før jul?
0;Jeg vil spore en kringkasting
0;Jeg vil spore mine bestillinger, hvordan gjør jeg det?
0;Jeg vil vite hvor bestillingen min er
0;Kan du hjelpe meg å se hvor varene mine er?
0;Kan du ikke se hvor bestillingen min er
0;Kan du se om bestillingen min er i gang?
0;Kan du sende en sporingskobling for bestillingen min
0;på jakt etter bestillingen min
0;Når vil jeg motta levering?
0;Når kommer bestillingen min?
0;Når kommer mine bestilte varer?
0;når mine ting kommer
0;Når kommer produktene mine?
0;Når skjer leveransen min?
0;Så jeg har et spørsmål Jeg trenger en sporingskobling?
0;Bare tenkt på hvor lang tid det tar før jeg får leveransen fra deg?
0;tenkt å se om levering er forsinket når jeg ikke har blitt varslet om at den har blitt sendt
0;Fortsatt tenkt på å sjekke ut når du tror at bestillingen min 1812763 går bort.
0;Lurer på når levering skjer på bestilling 1827379?
0;Lurer på når jeg får plakatene mine?
0;Lurer på hvor bestillingen min gikk?
0;Hva skjedde med bestillingen min?
0;Hva er statusen for bestillingen min?
0;hvor viften er min bestilling
0;Hvor har jeg bestilt tatt?
0;Hvor har jeg bestilt tatt?
0;Hvor har jeg bestilt tatt?
0;Hvor holder varene mine hjem?
0;hvor kan jeg finne bestillingen min
0;hvor er min egentlige bestilling?
0;Hvor er bestillingen min?
0;Hvor er produktet mitt?
0;Hvorfor tar det så lang tid å få pakken min?
0;varene jeg bestilte ikke kommet fram
0;hvor er produktet mitt?
0;hvor er produktet?
0;Vet du når en bestilling kommer
1;Et lite spørsmål til deg. Jeg har angret bestillingen min
1;Hei Jeg trenger hjelp til å fjerne en bestilling
1;Hei, jeg har et spørsmål til deg. Jeg har angret bestillingen min
1;Hei, du kan hjelpe meg med mitt spørsmål. Jeg har angret bestillingen min
1;Hei min bestilling må fjernes
1;Hei, jeg har nylig bestilt en bestilling som jeg vil avbryte
1;Hei, jeg vil ikke ha bestillingen min lenger
1;Hvordan kansellerer du en bestilling?
1;Hvordan kansellerer du en nylig bestilling?
1;jeg må avbryte bestillingen min
1;jeg må avbryte kjøpet mitt
